"Source:","C:\Users\2021d\Documents\GitHub\audio_chain\audio chain.kicad_sch"
"Date:","12/28/2021 10:09:26 AM"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","31"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C1","C","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C2","C","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","IC1","LM2902AWYDT","SamacSys_Parts:LM2902AWYDT","SOIC127P600X175-14N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA25/1621277.pdf","","","STMicroelectronics LM2902AWYDT, Quad Low Power Op Amp, 1.3MHz, 3  30 V, 14-Pin SOIC","1.75","STMicroelectronics","LM2902AWYDT","511-LM2902AWYDT","https://www.mouser.com/Search/Refine.aspx?Keyword=511-LM2902AWYDT"
"","","IC2","LM2902AWYDT","SamacSys_Parts:LM2902AWYDT","SOIC127P600X175-14N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA25/1621277.pdf","","","STMicroelectronics LM2902AWYDT, Quad Low Power Op Amp, 1.3MHz, 3  30 V, 14-Pin SOIC","1.75","STMicroelectronics","LM2902AWYDT","511-LM2902AWYDT","https://www.mouser.com/Search/Refine.aspx?Keyword=511-LM2902AWYDT"
"","","Q1","MJE15034G","SamacSys_Parts:MJE15034G","TO254P483X1010X2035-3P","http://www.onsemi.com/pub/Collateral/MJE15034-D.PDF","MJE15034G","https://www.arrow.com/en/products/mje15034g/on-semiconductor?region=europe","","4.83","ON Semiconductor","MJE15034G","863-MJE15034G","https://www.mouser.co.uk/ProductDetail/onsemi/MJE15034G?qs=HVbQlW5zcXV7QTziNO9oMQ%3D%3D"
"","","Q2","MJE15035G","SamacSys_Parts:MJE15035G","TO254P483X1010X2035-3P","http://www.onsemi.com/pub/Collateral/MJE15034-D.PDF","MJE15035G","https://www.arrow.com/en/products/mje15035g/on-semiconductor?region=europe","","4.83","ON Semiconductor","MJE15035G","863-MJE15035G","https://www.mouser.co.uk/ProductDetail/onsemi/MJE15035G?qs=HVbQlW5zcXXa%252Byhv1vIoqQ%3D%3D"
"","","Q3","MJE15034G","SamacSys_Parts:MJE15034G","TO254P483X1010X2035-3P","http://www.onsemi.com/pub/Collateral/MJE15034-D.PDF","MJE15034G","https://www.arrow.com/en/products/mje15034g/on-semiconductor?region=europe","","4.83","ON Semiconductor","MJE15034G","863-MJE15034G","https://www.mouser.co.uk/ProductDetail/onsemi/MJE15034G?qs=HVbQlW5zcXV7QTziNO9oMQ%3D%3D"
"","","Q4","MJE15035G","SamacSys_Parts:MJE15035G","TO254P483X1010X2035-3P","http://www.onsemi.com/pub/Collateral/MJE15034-D.PDF","MJE15035G","https://www.arrow.com/en/products/mje15035g/on-semiconductor?region=europe","","4.83","ON Semiconductor","MJE15035G","863-MJE15035G","https://www.mouser.co.uk/ProductDetail/onsemi/MJE15035G?qs=HVbQlW5zcXXa%252Byhv1vIoqQ%3D%3D"
"","","R1","9K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
